userid,EER,AUC
1,0.38378378378378375,0.6162162162162163
2,0.5362612612612613,0.48018018018018016
3,0.02702702702702703,0.9706756756756757
4,0.2002252252252252,0.8781081081081081
5,0.3259009009009009,0.6740990990990992
6,0.565990990990991,0.5580630630630631
7,0.7873873873873873,0.22765765765765764
8,0.4027027027027027,0.7510810810810811
9,0.3988738738738739,0.6292792792792793
10,0.24166666666666667,0.8418918918918918
11,0.3981981981981982,0.505045045045045
12,0.16058558558558558,0.9035135135135135
13,0.5632882882882884,0.5621621621621622
14,0.16463963963963965,0.9190990990990993
15,0.3740990990990991,0.6772072072072072
16,0.554054054054054,0.5357207207207207
17,0.1948198198198198,0.8715315315315315
18,0.17635135135135135,0.9402702702702703
19,0.00653153153153152,0.9890990990990991
20,0.09054054054054056,0.8966216216216216
21,0.08963963963963961,0.8743243243243244
22,0.03783783783783784,0.9603603603603604
23,0.4,0.6783333333333332
24,0.18896396396396395,0.8536036036036037
25,0.06013513513513513,0.9398648648648649
26,0.034009009009008995,0.9827027027027027
27,0.013513513513513487,0.9862612612612612
28,0.3655405405405405,0.7136036036036035
29,0.3567567567567568,0.6222072072072072
30,0.01486486486486488,0.9877477477477478
31,0.1972972972972973,0.8172972972972974
32,0.39842342342342346,0.6465765765765765
33,0.5686936936936937,0.522882882882883
34,0.17567567567567569,0.951891891891892
35,0.20833333333333334,0.8130180180180182
36,0.08175675675675675,0.9171171171171171
37,0.1524774774774775,0.9583333333333335
38,0.0490990990990991,0.9576576576576576
39,0.3346846846846847,0.5033783783783784
40,0.004504504504504514,0.9936036036036036
41,0.20472972972972972,0.8505855855855856
42,0.1952702702702703,0.9544144144144143
43,0.23941441441441444,0.7841441441441441
44,0.27049549549549545,0.7170270270270271
45,0.18693693693693694,0.8698648648648648
46,0.1844594594594595,0.914864864864865
47,0.15472972972972973,0.9625225225225225
48,0.02072072072072073,0.978963963963964
49,0.2024774774774775,0.8462162162162162
50,0.20225225225225227,0.7442792792792793
51,0.19009009009009012,0.8959009009009008
52,0.35563063063063066,0.6586936936936937
53,0.4006756756756757,0.6065315315315315
54,0.19999999999999998,0.8675675675675676
55,0.02702702702702703,0.9738738738738739
56,0.20045045045045043,0.8726126126126126
57,0.22027027027027027,0.8282882882882883
58,0.20090090090090093,0.7672072072072073
59,0.3484234234234234,0.7004054054054054
60,0.2425675675675676,0.7567567567567568
61,0.038963963963963955,0.9586036036036036
62,0.25878378378378375,0.7443243243243244
63,0.24774774774774774,0.7609909909909911
64,0.3162162162162162,0.7348648648648649
65,0.1918918918918919,0.9404954954954955
66,0.5981981981981982,0.3883333333333333
67,0.012612612612612595,0.9847747747747748
68,0.3815315315315315,0.6514414414414414
69,0.17432432432432432,0.8238738738738739
70,0.4463963963963964,0.6034234234234235
71,0.24774774774774774,0.7932432432432432
72,0.5756756756756757,0.5120720720720721
73,0.17545045045045046,0.9017117117117117
74,0.011936936936936926,0.9918918918918919
75,0.04369369369369369,0.9472072072072072
76,0.2105855855855856,0.7738738738738739
77,0.6099099099099099,0.3447747747747748
78,0.1630630630630631,0.9500450450450451
79,0.24279279279279278,0.8049549549549548
80,0.15450450450450448,0.8454954954954955
81,0.029279279279279258,0.9767567567567568
82,0.5225225225225225,0.5125675675675676
83,0.20202702702702705,0.8445045045045045
84,0.038288288288288286,0.9473873873873874
85,0.4058558558558559,0.6840540540540541
86,0.23783783783783782,0.7499099099099099
87,0.5558558558558558,0.4981981981981982
88,0.143018018018018,0.8981981981981983
89,0.04369369369369369,0.961891891891892
90,0.046621621621621645,0.9671171171171171
91,0.15090090090090091,0.8509459459459459
92,0.20833333333333334,0.7906756756756756
93,0.20923423423423423,0.7985135135135135
94,0.23355855855855856,0.7614864864864865
95,0.030855855855855874,0.9553153153153153
96,0.02792792792792792,0.9715765765765765
97,0.15585585585585585,0.9411261261261261
98,0.19864864864864865,0.8914414414414416
99,0.4058558558558559,0.764009009009009
100,0.015990990990990994,0.9817117117117118
101,0.15855855855855858,0.9369819819819819
102,0.08378378378378376,0.911981981981982
103,0.06261261261261264,0.9706756756756756
104,0.39774774774774774,0.6054054054054053
105,0.048198198198198205,0.9522522522522522
106,0.44729729729729734,0.5549099099099098
107,0.014639639639639657,0.9862162162162161
108,0.21171171171171174,0.7288288288288288
109,0.3945945945945946,0.7498648648648649
110,0.014639639639639657,0.9844144144144144
111,0.04639639639639642,0.9613513513513512
112,0.4063063063063063,0.6567117117117118
