userid,EER,AUC
1,0.18915094339622643,0.8846331236897275
2,0.26808176100628933,0.8348427672955975
3,0.19827044025157234,0.8870859538784068
4,0.4083333333333333,0.6527463312368973
5,0.14402515723270437,0.9307127882599581
6,0.21462264150943397,0.8154507337526206
7,0.16823899371069181,0.8455555555555555
8,0.2715408805031446,0.8285534591194968
9,0.038050314465408804,0.9860587002096437
10,0.2773584905660378,0.8522851153039831
11,0.41179245283018867,0.6825786163522013
12,0.20974842767295596,0.8320964360587002
13,0.08301886792452828,0.9457232704402515
14,0.3676100628930818,0.6020335429769392
15,0.016666666666666663,0.9925576519916142
16,0.12468553459119498,0.939140461215933
17,0.4808176100628931,0.4892243186582809
18,0.08490566037735847,0.9863522012578616
19,0.1400943396226415,0.9497903563941299
20,0.060534591194968575,0.9818658280922431
21,0.13867924528301884,0.9447379454926625
22,0.2702830188679245,0.8218658280922432
23,0.27248427672955977,0.7893081761006289
24,0.05566037735849056,0.980314465408805
25,0.3495283018867924,0.7520545073375262
26,0.14685534591194965,0.9546960167714884
27,0.0718553459119497,0.9476100628930817
28,0.24764150943396226,0.8340670859538785
29,0.1259433962264151,0.9252410901467505
30,0.19418238993710693,0.8635010482180294
31,0.0709119496855346,0.9813417190775682
32,0.20738993710691825,0.8951362683438154
33,0.18144654088050313,0.8338155136268344
34,0.14433962264150943,0.8572746331236897
35,0.1352201257861635,0.8985744234800839
36,0.0650943396226415,0.9332494758909853
37,0.13301886792452827,0.9174633123689727
38,0.135062893081761,0.9516561844863732
39,0.26745283018867927,0.799916142557652
40,0.26084905660377355,0.8228511530398324
41,0.19245283018867923,0.8555345911949686
42,0.03820754716981135,0.9882809224318658
43,0.17122641509433964,0.8642767295597484
44,0.1268867924528302,0.919203354297694
45,0.39213836477987424,0.679245283018868
46,0.21540880503144652,0.881299790356394
47,0.19166666666666668,0.9061215932914046
48,0.10943396226415093,0.9509853249475891
49,0.03333333333333333,0.9881551362683438
50,0.06698113207547168,0.92125786163522
51,0.11745283018867926,0.9252830188679245
52,0.14575471698113207,0.9215723270440251
53,0.12798742138364777,0.8926834381551362
54,0.11886792452830187,0.9149056603773584
