userid,EER,AUC
1,0.135062893081761,0.9221383647798742
2,0.4240566037735849,0.6835010482180294
3,0.13380503144654088,0.9762054507337526
4,0.16713836477987423,0.8484276729559748
5,0.3864779874213837,0.6988259958071279
6,0.4166666666666667,0.6331446540880503
7,0.1391509433962264,0.9073584905660377
8,0.16352201257861634,0.8981761006289308
9,0.1479559748427673,0.9396645702306079
10,0.2515723270440251,0.8185744234800838
11,0.22279874213836479,0.8153039832285115
12,0.3363207547169811,0.7480503144654087
13,0.008176100628930816,0.9981132075471698
14,0.33364779874213835,0.7646960167714885
15,0.26572327044025157,0.8502935010482179
16,0.16965408805031448,0.8163941299790356
17,0.7132075471698114,0.23700209643605868
18,0.22106918238993709,0.9167295597484276
19,0.3161949685534591,0.6934171907756813
20,0.19088050314465407,0.8733752620545073
21,0.13396226415094337,0.9446331236897275
22,0.5509433962264151,0.5053039832285116
23,0.41918238993710694,0.6611530398322851
24,0.09465408805031446,0.8880503144654088
25,0.38427672955974845,0.7227253668763103
26,0.33349056603773586,0.6772746331236899
27,0.32861635220125784,0.7087002096436059
28,0.22248427672955975,0.8640670859538784
29,0.05251572327044025,0.9955765199161425
30,0.385377358490566,0.7767924528301886
31,0.21147798742138366,0.770775681341719
32,0.3581761006289308,0.7955345911949685
33,0.40267295597484276,0.5916142557651991
34,0.13207547169811318,0.9693081761006289
35,0.14606918238993713,0.8976519916142558
36,0.5209119496855346,0.529979035639413
37,0.1962264150943396,0.8337735849056602
38,0.07657232704402517,0.9679559748427674
39,0.2650943396226415,0.8589517819706498
40,0.20330188679245284,0.8516771488469601
41,0.2268867924528302,0.7713626834381551
42,0.15801886792452832,0.8783647798742139
43,0.19512578616352202,0.8565408805031447
44,0.1292452830188679,0.9634591194968554
45,0.45267295597484275,0.6068343815513627
46,0.20534591194968552,0.8686373165618448
47,0.2117924528301887,0.8639412997903564
48,0.25408805031446535,0.8315723270440252
49,0.265251572327044,0.8431027253668762
50,0.10345911949685534,0.9017610062893081
51,0.2039308176100629,0.8980293501048219
52,0.3297169811320755,0.7217819706498951
53,0.34198113207547165,0.779769392033543
54,0.26084905660377355,0.8571488469601677
