userid,EER,AUC
1,0.27295597484276735,0.799916142557652
2,0.3940251572327044,0.6579874213836477
3,0.12657232704402516,0.9177148846960167
4,0.3242138364779874,0.7012368972746332
5,0.47783018867924526,0.48761006289308184
6,0.3191823899371069,0.7135849056603774
7,0.19858490566037737,0.9062264150943397
8,0.2783018867924528,0.8327044025157233
9,0.21619496855345913,0.8522222222222222
10,0.2108490566037736,0.7779874213836478
11,0.39937106918238996,0.6401886792452831
12,0.25440251572327044,0.8094129979035639
13,0.12971698113207547,0.9312578616352201
14,0.38805031446540883,0.6002515723270441
15,0.25974842767295603,0.810482180293501
16,0.3397798742138365,0.680146750524109
17,0.5449685534591195,0.4007547169811321
18,0.38349056603773585,0.70979035639413
19,0.4564465408805031,0.5776310272536689
20,0.3915094339622642,0.6587211740041928
21,0.13474842767295597,0.9105870020964361
22,0.28286163522012575,0.7044234800838575
23,0.25896226415094337,0.7751572327044024
24,0.1838050314465409,0.8385953878406709
25,0.27625786163522015,0.7758490566037735
26,0.27940251572327046,0.7015723270440253
27,0.38930817610062896,0.619937106918239
28,0.2735849056603774,0.7624737945492663
29,0.2520440251572327,0.8140251572327044
30,0.33380503144654083,0.6645492662473795
31,0.1897798742138365,0.7985115303983229
32,0.19654088050314464,0.9029350104821803
33,0.27452830188679245,0.718972746331237
34,0.3932389937106918,0.6675681341719077
35,0.1838050314465409,0.9245283018867925
36,0.29119496855345905,0.6280293501048217
37,0.17987421383647798,0.8644863731656184
38,0.4742138364779874,0.5221593291404613
39,0.40141509433962264,0.6954716981132075
40,0.1360062893081761,0.8754926624737945
41,0.32358490566037734,0.7478197064989518
42,0.26918238993710697,0.8022641509433962
43,0.1911949685534591,0.8735220125786163
44,0.11713836477987423,0.9213626834381551
45,0.5383647798742138,0.5340041928721174
46,0.3290880503144654,0.7728092243186582
47,0.1727987421383648,0.8596016771488469
48,0.14166666666666666,0.9155974842767296
49,0.2191823899371069,0.8227882599580713
50,0.18930817610062892,0.8507127882599581
51,0.21430817610062894,0.8312578616352202
52,0.4680817610062893,0.5626834381551362
53,0.37562893081761006,0.6156394129979035
54,0.10786163522012578,0.9460167714884695
