userid,EER,AUC
1,0.19937106918238992,0.8563731656184487
2,0.1290880503144654,0.9262054507337527
3,0.1300314465408805,0.9392243186582809
4,0.28270440251572326,0.7780293501048219
5,0.2569182389937107,0.8335220125786165
6,0.26745283018867927,0.7682809224318659
7,0.19968553459119495,0.890670859538784
8,0.13364779874213836,0.8726205450733753
9,0.004402515723270439,0.9973584905660376
10,0.145125786163522,0.9404192872117401
11,0.32720125786163523,0.7871698113207546
12,0.07154088050314467,0.9681132075471699
13,0.14261006289308176,0.950796645702306
14,0.4070754716981132,0.6009224318658282
15,0.05754716981132075,0.9940670859538785
16,0.12389937106918238,0.9608176100628931
17,0.30660377358490565,0.7038784067085955
18,0.06163522012578616,0.9836058700209643
19,0.05628930817610062,0.9815723270440251
20,0.07468553459119498,0.9715723270440252
21,0.016509433962264175,0.9896645702306079
22,0.18757861635220127,0.8923060796645702
23,0.23726415094339623,0.8222222222222223
24,0.07075471698113206,0.9925995807127883
25,0.3968553459119497,0.6975052410901468
26,0.07468553459119498,0.9623270440251573
27,0.13867924528301884,0.9646750524109016
28,0.2688679245283019,0.8318238993710692
29,0.05990566037735851,0.9941509433962264
30,0.20235849056603775,0.9416561844863731
31,0.05817610062893081,0.9929559748427672
32,0.1861635220125786,0.9172327044025157
33,0.26792452830188684,0.8161215932914048
34,0.05455974842767298,0.9865408805031446
35,0.11226415094339622,0.9377358490566037
36,0.06650943396226416,0.9761006289308176
37,0.12578616352201255,0.9495807127882598
38,0.07751572327044026,0.9694129979035639
39,0.26949685534591195,0.8118867924528302
40,0.13317610062893082,0.9177568134171908
41,0.19433962264150942,0.9164989517819706
42,0.05235849056603776,0.9899790356394128
43,0.07264150943396225,0.9620545073375262
44,0.11981132075471697,0.9712368972746331
45,0.32044025157232703,0.7756394129979036
46,0.19056603773584904,0.8459119496855346
47,0.1919811320754717,0.9188679245283018
48,0.1323899371069182,0.9478825995807127
49,0.060849056603773606,0.9936897274633124
50,0.007547169811320753,0.9933123689727463
51,0.14135220125786163,0.9439832285115304
52,0.013207547169811318,0.9955345911949685
53,0.26588050314465406,0.8469182389937105
54,0.12421383647798741,0.948972746331237
